dataset,configuration,configuration_label,question_id,sentence_index,citation_count,citation_present,human_supported,automatic_supported
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7031499911070053371,5,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2419910984507145175,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2419910984507145175,1,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3228155858422343609,0,3,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4873786835306543030,0,2,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4873786835306543030,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4873786835306543030,2,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7341847432427402002,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7341847432427402002,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,9208802889973064064,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6491913195208307840,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6818525918465491519,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3421083040429613594,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3766268167311659635,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3766268167311659635,1,2,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3766268167311659635,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3766268167311659635,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3766268167311659635,4,2,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1669382249251092390,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1669382249251092390,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3675478481857186593,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3675478481857186593,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3675478481857186593,2,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-760711577307303110,0,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-760711577307303110,1,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-760711577307303110,2,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-760711577307303110,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2028008768314817948,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2028008768314817948,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3658847669702107248,0,2,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3658847669702107248,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3658847669702107248,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1249880653163144885,0,2,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1249880653163144885,1,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1249880653163144885,2,3,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5842265707961388968,0,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5842265707961388968,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5842265707961388968,2,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5842265707961388968,3,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-980277355338003007,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-980277355338003007,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-980277355338003007,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2308605614870982079,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2308605614870982079,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6991956743207247076,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2352037698769402666,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3783314997423605362,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4499452346514611435,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2240932998074597895,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2240932998074597895,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2240932998074597895,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2587736270657707397,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2587736270657707397,1,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2587736270657707397,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8113348361974619629,0,2,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8113348361974619629,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8113348361974619629,2,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8374334863981745899,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-8374334863981745899,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4814171382648920164,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4814171382648920164,1,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4814171382648920164,2,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4814171382648920164,3,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1029755223764707835,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1029755223764707835,1,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1029755223764707835,2,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,1029755223764707835,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4891954000928831702,0,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6750695717303546788,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6750695717303546788,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2806020951549731374,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2806020951549731374,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2806020951549731374,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4879828696940526525,0,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4888381097814967011,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,434290836324078234,0,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,434290836324078234,1,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,434290836324078234,2,2,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2872295608752061902,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,9184423694390444844,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,9184423694390444844,1,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,9184423694390444844,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,9184423694390444844,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6253059790504461986,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6253059790504461986,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6253059790504461986,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6253059790504461986,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6253059790504461986,4,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5021421578587820891,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5021421578587820891,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5021421578587820891,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5021421578587820891,3,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5021421578587820891,4,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3298679965487154416,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-1854705900900914247,0,2,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-1854705900900914247,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-1854705900900914247,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2771414991157063420,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2771414991157063420,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4150448921344430432,0,2,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4150448921344430432,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4150448921344430432,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4150448921344430432,3,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3469572554119413466,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3469572554119413466,1,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3469572554119413466,2,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3469572554119413466,3,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3469572554119413466,4,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,3,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,4,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5326119942658671302,5,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5437055545265308142,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-5437055545265308142,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-3176814404414677007,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6619094979746662600,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6619094979746662600,1,2,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6619094979746662600,2,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2046820450216612197,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,3863117877494111972,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6769751506580038561,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6769751506580038561,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4910574660426743103,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4910574660426743103,1,3,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6249787590084786692,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6249787590084786692,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6249787590084786692,2,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,7139732942062154674,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5681227898580645683,0,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5681227898580645683,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,5191207153839372750,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2260680157828850192,0,1,1,1,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2260680157828850192,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2260680157828850192,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,2260680157828850192,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4929126693046447466,0,3,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4929126693046447466,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7612789396027174533,0,1,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-7612789396027174533,1,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2084343930513014478,0,0,0,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-2084343930513014478,1,2,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4651499553471529318,0,3,1,0,0
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-4651499553471529318,1,2,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,0,1,1,0,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,4,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,5,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,6,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,4965896127144803833,7,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6429742195389252000,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6429742195389252000,1,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6429742195389252000,2,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,-6429742195389252000,3,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6197919553092718789,0,1,1,1,1
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,6197919553092718789,1,1,1,1,1
